지하철역명,경도,위도
혜화,127.0022523,37.58169864
동대문,127.0090404,37.57079391
혜화,127.0017561,37.58144803
동묘앞,127.0174497,37.57329705
창신,127.015515,37.57951304
동묘앞,127.0158609,37.57329757
신설동,127.0229774,37.57595177
종로3가,126.9926111,37.5702647
안국,126.9851589,37.57622647
종로3가,126.9919395,37.57095714
동대문,127.010493,37.57141797
서대문,126.9672702,37.56589002
청구,127.0139214,37.56004268
시청,126.9769189,37.56525655
청구,127.0137539,37.56045599
서대문,126.967381,37.56574176
을지로3가,126.9895726,37.56605044
버티고개,127.0073887,37.54819324
성수,127.0553622,37.54494855
금호,127.0160389,37.54814465
뚝섬,127.0481502,37.54714637
성수,127.0552985,37.54467032
왕십리(성동구청),127.0377615,37.56093673
상왕십리,127.0293482,37.56421058
상왕십리,127.0298255,37.56438953
서울숲,127.0444267,37.54328279
신금호,127.0201659,37.55480754
옥수,127.0185156,37.54072603
행당,127.02926,37.55713833
왕십리(성동구청),127.0370172,37.56147019
뚝섬,127.0479915,37.54689474
옥수,127.0171556,37.54170356
답십리,127.0525203,37.56674286
장한평,127.0643732,37.56129216
서울숲,127.044758,37.5431033
건대입구,127.0688468,37.54035768
아차산(어린이대공원후문),127.0894455,37.55180047
군자(능동),127.0804244,37.55701452
구의(광진구청),127.0865176,37.53735966
뚝섬유원지,127.0671607,37.53183613
광나루(장신대),127.1044376,37.54479669
어린이대공원(세종대),127.0752534,37.54862641
장한평,127.0643709,37.56175609
신설동,127.0261582,37.57406801
신설동,127.0250317,37.57600321
신이문,127.0675416,37.60300445
용두(동대문구청),127.0383254,37.57438357
신설동,127.0249168,37.57636253
신설동,127.0233928,37.576031
용두(동대문구청),127.0382762,37.57369703
청량리(서울시립대입구),127.0438578,37.57957138
제기동,127.0337605,37.57837228
답십리,127.0523435,37.56744967
청량리(서울시립대입구),127.0467752,37.58021377
회기,127.0581685,37.58960609
회기,127.0576865,37.58987705
신이문,127.0678651,37.60292302
고려대(종암),127.0365944,37.5900839
신이문,127.0682461,37.6026132
봉화산(서울의료원),127.0924252,37.61708357
사가정,127.0882701,37.58057573
상봉(시외버스터미널),127.0858555,37.5956766
망우,127.0918227,37.60028426
양원,127.1078798,37.60676438
중화,127.0791798,37.60230159
양원,127.1080057,37.60645039
면목,127.0873441,37.58847547
먹골,127.0778944,37.61098277
봉화산(서울의료원),127.090667,37.61738491
신내,127.1034529,37.61326508
신내,127.1034732,37.61343898
용마산,127.0867844,37.57422778
